"state","gconcept_best","rank","day"
"Kentucky","flea market",3,"Thursday"
"Maryland","mens clothing store",3,"Thursday"
"Mississippi","home improvement store",3,"Thursday"
"Washington","seafood market",3,"Thursday"
"West Virginia","mexican restaurant",3,"Thursday"
"Rhode Island","park",3,"Thursday"
"Hawaii","furniture store",3,"Thursday"
"North Dakota","department store",3,"Thursday"
"New York","county government office",3,"Friday"
"Massachusetts","beach",3,"Friday"
"Illinois","hiking area",3,"Friday"
"Oklahoma","place of worship",3,"Friday"
"Connecticut","park",3,"Friday"
"North Carolina","tree farm",3,"Friday"
"Florida","university",3,"Friday"
"New Mexico","gift shop",3,"Friday"
"Louisiana","chicken restaurant",3,"Friday"
"Nevada","gas station",3,"Friday"
"New Jersey","golf course",3,"Friday"
"Utah","bar",3,"Friday"
"Pennsylvania","city hall",3,"Friday"
"West Virginia","restaurant",3,"Friday"
"Tennessee","flea market",3,"Friday"
"Arizona","lodge",3,"Friday"
"South Carolina","condominium complex",3,"Friday"
"Indiana","car wash",3,"Friday"
"New Hampshire","tourist attraction",3,"Friday"
"Delaware","electronics store",3,"Friday"
"Hawaii","historical landmark",3,"Friday"
"California","outlet store",3,"Friday"
"Maine","seafood restaurant",3,"Friday"
"Michigan","farmers market",3,"Friday"
"Oregon","donut shop",3,"Friday"
"Texas","athletic field",3,"Friday"
"Washington","bus company",3,"Friday"
"Georgia","animal shelter",3,"Friday"
"Alabama","rv park",3,"Friday"
"Maryland","mosque",3,"Friday"
"Missouri","golf course",3,"Friday"
"Kansas","barbecue restaurant",3,"Friday"
"Vermont","clothing store",3,"Friday"
"Kentucky","golf course",3,"Friday"
"Arkansas","american restaurant",3,"Friday"
"Virginia","motorcycle dealer",3,"Friday"
"Wisconsin","cheese shop",3,"Friday"
"Minnesota","tree farm",3,"Friday"
"Colorado","airport",2,"Friday"
"Mississippi","supermarket",3,"Friday"
"Idaho","campground",3,"Friday"
"Nebraska","airport",3,"Friday"
"Iowa","park",3,"Friday"
"District of Columbia","bakery",3,"Friday"
"Ohio","tattoo shop",3,"Friday"
"Rhode Island","liquor store",3,"Friday"
"Illinois","performing arts group",3,"Overall"
"New York","car race track",3,"Overall"
"Oklahoma","stadium",3,"Overall"
"Michigan","plant nursery",3,"Overall"
"Massachusetts","beach",3,"Overall"
"Pennsylvania","city hall",3,"Overall"
"Nevada","transportation service",3,"Overall"
"Colorado","railroad company",2,"Overall"
"New Mexico","gift shop",3,"Overall"
"Texas","rodeo",3,"Overall"
"Louisiana","parking garage",3,"Overall"
"Connecticut","golf course",3,"Overall"
"Utah","lodge",3,"Overall"
"Florida","club",3,"Overall"
"South Carolina","sports complex",3,"Overall"
"North Carolina","soccer field",3,"Overall"
"Arizona","historical landmark",3,"Overall"
"Delaware","liquor store",3,"Overall"
"New Jersey","spa",2,"Overall"
"New Hampshire","department store",3,"Overall"
"Nebraska","home goods store",3,"Overall"
"Oregon","historical landmark",3,"Overall"
"Maine","seafood restaurant",3,"Overall"
"Minnesota","tool store",3,"Overall"
"Idaho","home goods store",3,"Overall"
"Missouri","museum",2,"Overall"
"California","soccer store",3,"Overall"
"Wisconsin","home improvement store",3,"Overall"
"Tennessee","indian restaurant",3,"Overall"
"Georgia","garden",3,"Overall"
"Indiana","cosmetics store",3,"Overall"
"West Virginia","fast food restaurant",3,"Overall"
"Vermont","clothing store",3,"Overall"
"Mississippi","auto parts store",3,"Overall"
"Kansas","cosmetics store",3,"Overall"
"Alabama","rv park",3,"Overall"
"Kentucky","supermarket",3,"Overall"
"Maryland","pub",3,"Overall"
"Virginia","computer store",3,"Overall"
"Ohio","office supply store",3,"Overall"
"Arkansas","resort hotel",2,"Overall"
"Iowa","breakfast restaurant",3,"Overall"
"Washington","seafood market",3,"Overall"
"District of Columbia","museum",3,"Overall"
"Hawaii","place of worship",3,"Overall"
"Rhode Island","liquor store",3,"Overall"
"South Dakota","park",3,"Overall"
"Michigan","appliance store",4,"Wednesday"
"Nevada","japanese restaurant",4,"Wednesday"
"Texas","cultural center",4,"Wednesday"
"Oklahoma","home goods store",4,"Wednesday"
"California","ski store",4,"Wednesday"
"New Hampshire","department store",4,"Wednesday"
"Illinois","mattress store",4,"Wednesday"
"North Carolina","beauty supply store",4,"Wednesday"
"New York","children amusement center",4,"Wednesday"
"Wisconsin","golf course",4,"Wednesday"
"Utah","motel",4,"Wednesday"
"Pennsylvania","city hall",4,"Wednesday"
"New Mexico","american restaurant",4,"Wednesday"
"New Jersey","filipino restaurant",4,"Wednesday"
"Massachusetts","market",4,"Wednesday"
"Delaware","clothing store",4,"Wednesday"
"Tennessee","amusement center",4,"Wednesday"
"Louisiana","historical landmark",4,"Wednesday"
"South Carolina","beach resort",4,"Wednesday"
"Iowa","furniture store",4,"Wednesday"
"Indiana","home improvement store",4,"Wednesday"
"Florida","game store",4,"Wednesday"
"Nebraska","electronics store",4,"Wednesday"
"Mississippi","coffee shop",4,"Wednesday"
"Minnesota","dog park",4,"Wednesday"
"Alabama","cosmetics store",4,"Wednesday"
"Colorado","condominium complex",3,"Wednesday"
"Arizona","visitor center",4,"Wednesday"
"Oregon","family restaurant",4,"Wednesday"
"Kentucky","shopping center",4,"Wednesday"
"Georgia","winery",4,"Wednesday"
"Missouri","beauty supply store",3,"Wednesday"
"Virginia","museum",4,"Wednesday"
"Ohio","lodge",4,"Wednesday"
"Vermont","pizza restaurant",4,"Wednesday"
"Connecticut","electronics store",4,"Wednesday"
"Arkansas","movie theater",4,"Wednesday"
"Kansas","electronics store",4,"Wednesday"
"Washington","home goods store",4,"Wednesday"
"Maryland","mosque",4,"Wednesday"
"Idaho","craft store",4,"Wednesday"
"Maine","park",4,"Wednesday"
"West Virginia","sandwich shop",4,"Wednesday"
"Hawaii","place of worship",4,"Wednesday"
"South Dakota","american restaurant",4,"Wednesday"
"Illinois","performing arts group",4,"Thursday"
"Pennsylvania","city hall",4,"Thursday"
"Massachusetts","beach",4,"Thursday"
"Nevada","gas station",4,"Thursday"
"Texas","rodeo",4,"Thursday"
"New Mexico","tourist attraction",4,"Thursday"
"Utah","tourist attraction",4,"Thursday"
"Connecticut","bagel shop",4,"Thursday"
"New York","athletic field",4,"Thursday"
"Minnesota","tool store",4,"Thursday"
"Michigan","hot dog restaurant",4,"Thursday"
"North Carolina","general store",4,"Thursday"
"Oregon","indoor lodging",4,"Thursday"
"Wisconsin","butcher shop",4,"Thursday"
"Louisiana","sports bar",4,"Thursday"
"South Carolina","seafood market",4,"Thursday"
"Arizona","lodge",4,"Thursday"
"Colorado","state park",3,"Thursday"
"New Hampshire","tourist attraction",4,"Thursday"
"Vermont","park",4,"Thursday"
"Georgia","variety store",4,"Thursday"
"Maine","seafood restaurant",4,"Thursday"
"Delaware","department store",4,"Thursday"
"Florida","comic book store",4,"Thursday"
"Indiana","home improvement store",4,"Thursday"
"Tennessee","indian restaurant",3,"Thursday"
"Ohio","golf course",4,"Thursday"
"Kansas","barbecue restaurant",4,"Thursday"
"Idaho","campground",4,"Thursday"
"California","place of worship",4,"Thursday"
"Alabama","rv park",4,"Thursday"
"Arkansas","coffee shop",3,"Thursday"
"Virginia","amusement center",4,"Thursday"
"Oklahoma","hardware store",4,"Thursday"
"District of Columbia","parking lot",4,"Thursday"
"Iowa","furniture store",4,"Thursday"
"Kentucky","bowling alley",4,"Thursday"
"Maryland","garden center",4,"Thursday"
"Nebraska","electronics store",4,"Thursday"
"Mississippi","breakfast restaurant",4,"Thursday"
"Washington","bridal shop",4,"Thursday"
"West Virginia","restaurant",4,"Thursday"
"South Dakota","shopping center",4,"Thursday"
"Hawaii","store",4,"Thursday"
"Massachusetts","hiking area",4,"Friday"
"Illinois","fairground",4,"Friday"
"Connecticut","historical landmark",4,"Friday"
"Louisiana","parking lot",4,"Friday"
"Nevada","parking lot",4,"Friday"
"Florida","visitor center",4,"Friday"
"Pennsylvania","memorial park",4,"Friday"
"North Carolina","plant nursery",4,"Friday"
"West Virginia","coffee shop",4,"Friday"
"New York","travel agency",4,"Friday"
"Arizona","scenic spot",4,"Friday"
"South Carolina","university",4,"Friday"
"New Hampshire","mexican restaurant",4,"Friday"
"Utah","golf course",4,"Friday"
"Delaware","liquor store",4,"Friday"
"New Mexico","historic site",4,"Friday"
"California","cabin rental agency",4,"Friday"
"Oregon","historical landmark",4,"Friday"
"Texas","beach resort",4,"Friday"
"Indiana","mattress store",4,"Friday"
"Alabama","liquor store",4,"Friday"
"Missouri","candy store",4,"Friday"
"Maine","home improvement store",4,"Friday"
"Michigan","car race track",4,"Friday"
"Tennessee","indian restaurant",4,"Friday"
"Maryland","thrift store",4,"Friday"
"Georgia","garden",4,"Friday"
"Kentucky","antique store",4,"Friday"
"Arkansas","airport",4,"Friday"
"Virginia","computer store",4,"Friday"
"Washington","childrens clothing store",4,"Friday"
"Minnesota","candy store",4,"Friday"
"Colorado","shooting range",3,"Friday"
"Vermont","brewery",4,"Friday"
"Hawaii","store",4,"Friday"
"Oklahoma","event venue",4,"Friday"
"Wisconsin","car wash",4,"Friday"
"Idaho","craft store",4,"Friday"
"Kansas","hardware store",4,"Friday"
"Iowa","home improvement store",4,"Friday"
"District of Columbia","federal government office",4,"Friday"
"Mississippi","american restaurant",4,"Friday"
"Ohio","liquor store",4,"Friday"
"Rhode Island","electronics store",4,"Friday"
"Nebraska","supermarket",4,"Friday"
"Illinois","dessert shop",4,"Overall"
"Massachusetts","used car dealer",4,"Overall"
"Pennsylvania","railroad company",4,"Overall"
"Nevada","thai restaurant",4,"Overall"
"New York","art center",4,"Overall"
"Michigan","hot dog restaurant",4,"Overall"
"Utah","motel",4,"Overall"
"Louisiana","light rail station",4,"Overall"
"Delaware","shopping center",4,"Overall"
"Arizona","lodge",4,"Overall"
"New Hampshire","shopping center",4,"Overall"
"New Mexico","tourist attraction",4,"Overall"
"Texas","ballroom",4,"Overall"
"Oklahoma","event venue",4,"Overall"
"Connecticut","park",4,"Overall"
"Minnesota","state park",4,"Overall"
"Oregon","vineyard",4,"Overall"
"New Jersey","retirement community",3,"Overall"
"North Carolina","art gallery",4,"Overall"
"California","outlet store",4,"Overall"
"South Carolina","historical landmark",4,"Overall"
"Wisconsin","state park",4,"Overall"
"Maine","diner",4,"Overall"
"Missouri","home improvement store",3,"Overall"
"Indiana","home improvement store",4,"Overall"
"Florida","tool store",4,"Overall"
"Kansas","park",4,"Overall"
"Mississippi","supermarket",4,"Overall"
"Vermont","american restaurant",4,"Overall"
"West Virginia","restaurant",4,"Overall"
"Tennessee","golf course",4,"Overall"
"Georgia","animal shelter",4,"Overall"
"Maryland","golf course",4,"Overall"
"Kentucky","cosmetics store",4,"Overall"
"Colorado","shooting range",3,"Overall"
"Idaho","craft store",4,"Overall"
"Ohio","tattoo shop",4,"Overall"
"Nebraska","electronics store",4,"Overall"
"Arkansas","supermarket",3,"Overall"
"Iowa","furniture store",4,"Overall"
"Alabama","cosmetics store",4,"Overall"
"Virginia","motorcycle dealer",4,"Overall"
"Washington","rest stop",4,"Overall"
"District of Columbia","bakery",4,"Overall"
"Hawaii","store",4,"Overall"
"Rhode Island","electronics store",4,"Overall"
"South Dakota","shopping center",4,"Overall"
"Michigan","plant nursery",5,"Wednesday"
"Nevada","chocolate shop",5,"Wednesday"
"Texas","ballroom",5,"Wednesday"
"California","city courthouse",5,"Wednesday"
"Illinois","market",5,"Wednesday"
"New Hampshire","cell phone store",5,"Wednesday"
"New York","consignment shop",5,"Wednesday"
"Massachusetts","retirement community",5,"Wednesday"
"Pennsylvania","chocolate shop",5,"Wednesday"
"Delaware","department store",5,"Wednesday"
"North Carolina","vacation home rental agency",5,"Wednesday"
"Oklahoma","school",5,"Wednesday"
"Louisiana","cemetery",5,"Wednesday"
"Florida","beer store",5,"Wednesday"
"Indiana","sporting goods store",5,"Wednesday"
"Utah","cosmetics store",5,"Wednesday"
"Wisconsin","brewery",5,"Wednesday"
"Mississippi","supermarket",5,"Wednesday"
"South Carolina","movie theater",5,"Wednesday"
"New Jersey","bakery",5,"Wednesday"
"New Mexico","movie theater",5,"Wednesday"
"Alabama","tourist attraction",5,"Wednesday"
"Tennessee","sporting goods store",5,"Wednesday"
"Iowa","home improvement store",5,"Wednesday"
"Arizona","lodge",5,"Wednesday"
"Minnesota","electronics store",5,"Wednesday"
"Colorado","supermarket",4,"Wednesday"
"Missouri","amusement center",4,"Wednesday"
"Georgia","rv dealer",5,"Wednesday"
"Virginia","bridal shop",5,"Wednesday"
"Nebraska","supermarket",5,"Wednesday"
"Ohio","sporting goods store",5,"Wednesday"
"Kentucky","gun shop",5,"Wednesday"
"Oregon","diner",5,"Wednesday"
"Arkansas","electronics store",5,"Wednesday"
"Kansas","home improvement store",5,"Wednesday"
"Maryland","tree farm",5,"Wednesday"
"Vermont","park",5,"Wednesday"
"Connecticut","golf course",5,"Wednesday"
"Washington","family restaurant",5,"Wednesday"
"Idaho","general contractor",5,"Wednesday"
"Maine","cafe",5,"Wednesday"
"West Virginia","gas station",5,"Wednesday"
"Illinois","fairground",5,"Thursday"
"Nevada","vietnamese restaurant",5,"Thursday"
"Minnesota","tree farm",5,"Thursday"
"Pennsylvania","game store",5,"Thursday"
"Oregon","donut shop",5,"Thursday"
"New York","car race track",5,"Thursday"
"North Carolina","car race track",5,"Thursday"
"Connecticut","garden center",5,"Thursday"
"Louisiana","cemetery",5,"Thursday"
"Massachusetts","cultural center",5,"Thursday"
"Texas","off road race track",5,"Thursday"
"Utah","scenic spot",5,"Thursday"
"South Carolina","historical landmark",5,"Thursday"
"Wisconsin","home improvement store",5,"Thursday"
"New Jersey","historical landmark",4,"Thursday"
"Arizona","motel",5,"Thursday"
"Michigan","asian grocery store",5,"Thursday"
"New Mexico","mexican restaurant",5,"Thursday"
"Missouri","home improvement store",4,"Thursday"
"Delaware","shopping center",5,"Thursday"
"Vermont","pizza restaurant",5,"Thursday"
"New Hampshire","diner",5,"Thursday"
"Ohio","shooting range",5,"Thursday"
"Tennessee","amusement center",4,"Thursday"
"Kansas","park",5,"Thursday"
"Georgia","bowling alley",5,"Thursday"
"Indiana","cosmetics store",5,"Thursday"
"California","mission",5,"Thursday"
"Idaho","home goods store",5,"Thursday"
"Maine","airport",5,"Thursday"
"Arkansas","tourist attraction",4,"Thursday"
"Colorado","visitor center",4,"Thursday"
"Florida","tool store",5,"Thursday"
"Alabama","hamburger restaurant",5,"Thursday"
"Virginia","brewery",5,"Thursday"
"District of Columbia","museum",5,"Thursday"
"Kentucky","book store",5,"Thursday"
"Oklahoma","book store",5,"Thursday"
"Maryland","bowling alley",5,"Thursday"
"Iowa","craft store",5,"Thursday"
"Mississippi","liquor store",5,"Thursday"
"Nebraska","clothing store",5,"Thursday"
"Washington","rest stop",5,"Thursday"
"West Virginia","fast food restaurant",5,"Thursday"
"Illinois","dessert shop",5,"Friday"
"Massachusetts","bus company",5,"Friday"
"Connecticut","farm",5,"Friday"
"Pennsylvania","car wash",5,"Friday"
"New Jersey","park",4,"Friday"
"Nevada","thai restaurant",5,"Friday"
"New York","storage facility",5,"Friday"
"North Carolina","golf club",5,"Friday"
"Arizona","tour agency",5,"Friday"
"New Hampshire","breakfast restaurant",5,"Friday"
"West Virginia","mexican restaurant",5,"Friday"
"South Carolina","marina",5,"Friday"
"Delaware","shopping center",5,"Friday"
"Louisiana","light rail station",5,"Friday"
"New Mexico","mexican restaurant",5,"Friday"
"Utah","scenic spot",5,"Friday"
"California","gun club",5,"Friday"
"Oregon","vineyard",5,"Friday"
"Florida","miniature golf course",5,"Friday"
"Texas","casino",5,"Friday"
"Missouri","car rental agency",5,"Friday"
"Maryland","park",5,"Friday"
"Michigan","farm equipment supplier",5,"Friday"
"Tennessee","golf course",5,"Friday"
"Georgia","flea market",5,"Friday"
"Indiana","farm",5,"Friday"
"Arkansas","gas station",5,"Friday"
"Virginia","variety store",5,"Friday"
"Maine","airport",5,"Friday"
"Vermont","general store",5,"Friday"
"Kentucky","liquor store",5,"Friday"
"Wisconsin","wine store",5,"Friday"
"Colorado","tourist attraction",4,"Friday"
"Hawaii","clothing store",5,"Friday"
"Kansas","ice cream shop",5,"Friday"
"Washington","seafood market",5,"Friday"
"Minnesota","airport",5,"Friday"
"Idaho","movie theater",5,"Friday"
"Alabama","airport",5,"Friday"
"Ohio","car race track",5,"Friday"
"Mississippi","campground",5,"Friday"
"District of Columbia","museum",5,"Friday"
"Oklahoma","ice cream shop",5,"Friday"
"Iowa","cell phone store",5,"Friday"
"Rhode Island","clothing store",5,"Friday"
"Nebraska","cell phone store",5,"Friday"
"Illinois","fairground",5,"Overall"
"Nevada","parking lot",5,"Overall"
"Massachusetts","hiking area",5,"Overall"
"New York","cake shop",5,"Overall"
"Pennsylvania","monument maker",5,"Overall"
"Michigan","appliance store",5,"Overall"
"Arizona","place of worship",5,"Overall"
"Louisiana","chicken restaurant",5,"Overall"
"Delaware","department store",5,"Overall"
"New Hampshire","cell phone store",5,"Overall"
"Utah","scenic spot",5,"Overall"
"Connecticut","garden center",5,"Overall"
"New Mexico","mexican restaurant",5,"Overall"
"North Carolina","plant nursery",5,"Overall"
"Oregon","donut shop",5,"Overall"
"New Jersey","farm",4,"Overall"
"Texas","casino",5,"Overall"
"California","american restaurant",5,"Overall"
"Wisconsin","home goods store",5,"Overall"
"Minnesota","tree farm",5,"Overall"
"South Carolina","university",5,"Overall"
"Oklahoma","cosmetics store",5,"Overall"
"Missouri","stadium",4,"Overall"
"Florida","dive shop",5,"Overall"
"Mississippi","university",5,"Overall"
"Vermont","gas station",5,"Overall"
"West Virginia","family restaurant",5,"Overall"
"Georgia","rv dealer",5,"Overall"
"Tennessee","amusement center",5,"Overall"
"Indiana","night club",5,"Overall"
"Kansas","barbecue restaurant",5,"Overall"
"Maine","cafe",5,"Overall"
"Idaho","resort hotel",5,"Overall"
"Ohio","golf course",5,"Overall"
"Maryland","garden center",5,"Overall"
"Iowa","electronics store",5,"Overall"
"Colorado","supermarket",4,"Overall"
"Arkansas","tourist attraction",4,"Overall"
"Alabama","liquor store",5,"Overall"
"Virginia","brewery",5,"Overall"
"Nebraska","supermarket",5,"Overall"
"Kentucky","bowling alley",5,"Overall"
"Washington","garden center",5,"Overall"
"District of Columbia","gift shop",5,"Overall"
"Hawaii","historical landmark",5,"Overall"
"Colorado","shooting range",5,"Wednesday"
"Missouri","sporting goods store",5,"Wednesday"
"New Jersey","farm",5,"Thursday"
"Missouri","wine store",5,"Thursday"
"Arkansas","drugstore",5,"Thursday"
"Colorado","golf club",5,"Thursday"
"Tennessee","brewery",5,"Thursday"
"New Jersey","nature preserve",5,"Friday"
"Colorado","railroad company",5,"Friday"
"New Jersey","filipino restaurant",5,"Overall"
"Missouri","golf club",5,"Overall"
"Colorado","tourist attraction",5,"Overall"
"Arkansas","museum",5,"Overall"
